T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,target,Cluster
-68,-61,-76,-75,-55,-47,-63,-65,-61,-58,-57,-56,-52,-40,-55,-58,-59,-61,A47,113
-71,-65,-64,-78,-67,-68,-59,-58,-56,-76,-79,-77,-75,-69,-59,-57,-55,-58,B57,237
-59,-53,-61,-66,-76,-73,-75,-78,-86,-62,-56,-64,-71,-76,-76,-80,-95,-81,B18,25
-72,-80,-95,-71,-84,-73,-61,-55,-61,-71,-70,-78,-67,-79,-66,-59,-56,-63,A62,42
-66,-64,-70,-62,-59,-62,-53,-58,-63,-82,-73,-83,-67,-61,-56,-61,-67,-65,B45,106
-77,-80,-73,-69,-68,-68,-68,-64,-60,-76,-76,-74,-84,-64,-61,-56,-67,-63,A66,26
-60,-61,-62,-49,-71,-56,-62,-82,-64,-51,-61,-50,-57,-63,-74,-67,-64,-75,A32,39
-55,-56,-63,-63,-65,-71,-67,-70,-71,-61,-54,-71,-58,-67,-65,-95,-66,-67,A8,97
-67,-82,-63,-68,-66,-56,-66,-69,-73,-80,-64,-63,-55,-58,-50,-52,-62,-61,A53,43
-65,-70,-63,-67,-67,-66,-62,-85,-67,-77,-70,-66,-57,-51,-50,-54,-61,-57,A49,124
-62,-59,-55,-63,-79,-64,-81,-72,-80,-54,-49,-59,-60,-67,-59,-64,-71,-71,A25,208
-73,-70,-64,-70,-64,-62,-61,-41,-55,-62,-69,-67,-63,-62,-56,-50,-49,-58,A67,71
-61,-58,-50,-45,-60,-55,-72,-58,-61,-65,-68,-45,-60,-66,-58,-59,-62,-63,B28,69
-85,-70,-61,-65,-71,-58,-66,-71,-82,-62,-67,-76,-65,-71,-67,-62,-64,-67,A34,131
-86,-80,-70,-72,-73,-83,-68,-66,-39,-82,-75,-82,-69,-79,-65,-57,-54,-58,A70,13
-71,-70,-75,-67,-71,-56,-63,-64,-62,-71,-73,-69,-66,-59,-50,-55,-56,-59,A57,96
-67,-66,-63,-59,-61,-50,-64,-65,-82,-61,-59,-75,-57,-52,-53,-55,-59,-64,A48,167
-76,-62,-63,-66,-62,-56,-61,-46,-53,-59,-68,-67,-69,-56,-63,-53,-61,-61,A64,23
-66,-60,-66,-55,-57,-53,-77,-67,-84,-54,-69,-61,-53,-61,-64,-64,-66,-73,A33,33
-68,-66,-73,-62,-65,-45,-57,-67,-68,-62,-79,-65,-53,-39,-45,-58,-59,-66,A51,101
-73,-58,-59,-60,-61,-63,-66,-71,-83,-59,-53,-63,-65,-74,-64,-63,-83,-68,A29,-1
-67,-66,-63,-59,-62,-48,-64,-65,-82,-61,-58,-74,-57,-53,-53,-55,-61,-64,A48,167
-67,-59,-59,-60,-51,-39,-59,-78,-50,-67,-71,-68,-59,-47,-58,-53,-66,-60,B39,64
-61,-53,-70,-58,-52,-59,-59,-62,-56,-61,-40,-45,-60,-57,-74,-71,-68,-65,B19,149
-65,-57,-68,-70,-57,-51,-54,-70,-70,-63,-60,-65,-62,-56,-55,-60,-60,-69,A52,112
-60,-61,-53,-54,-68,-60,-77,-69,-73,-69,-66,-56,-49,-67,-64,-73,-78,-68,A30,160
-80,-84,-66,-78,-67,-71,-56,-56,-54,-84,-79,-82,-66,-65,-63,-71,-59,-53,B66,142
-59,-59,-64,-49,-64,-62,-71,-63,-62,-60,-57,-47,-59,-60,-63,-59,-66,-73,B24,72
-75,-79,-76,-66,-65,-70,-63,-59,-54,-72,-76,-75,-77,-77,-78,-64,-59,-61,B74,-1
-73,-71,-63,-67,-63,-67,-63,-48,-50,-72,-78,-66,-72,-55,-65,-54,-49,-57,B63,59
-62,-57,-51,-46,-70,-73,-82,-72,-65,-59,-50,-52,-54,-58,-56,-69,-65,-69,A31,73
-77,-68,-60,-56,-60,-57,-68,-71,-74,-63,-66,-63,-53,-74,-70,-62,-68,-76,A33,-1
-69,-72,-69,-72,-78,-63,-67,-63,-56,-64,-70,-72,-67,-66,-66,-55,-63,-51,A77,-1
-63,-71,-62,-56,-55,-53,-68,-74,-79,-67,-61,-58,-53,-76,-55,-70,-76,-66,A37,99
-48,-57,-61,-70,-68,-63,-75,-75,-68,-44,-62,-62,-55,-77,-62,-73,-65,-70,A11,78
-61,-72,-63,-71,-62,-66,-55,-48,-49,-69,-63,-65,-70,-59,-68,-44,-46,-54,B60,180
-77,-74,-61,-74,-62,-68,-65,-48,-49,-82,-79,-65,-73,-57,-68,-54,-51,-55,B63,59
-79,-60,-53,-64,-51,-70,-64,-59,-60,-61,-61,-72,-55,-60,-49,-52,-60,-63,A44,84
-63,-57,-68,-67,-58,-45,-57,-61,-62,-70,-70,-71,-61,-48,-63,-52,-61,-55,B44,118
-62,-61,-62,-58,-62,-69,-51,-55,-60,-62,-65,-67,-70,-46,-57,-53,-63,-65,B48,179
-64,-57,-72,-67,-58,-53,-55,-76,-69,-64,-62,-64,-64,-62,-53,-57,-60,-71,A52,112
-73,-69,-69,-67,-54,-53,-70,-63,-69,-73,-68,-65,-54,-61,-47,-54,-69,-69,A43,170
-67,-61,-49,-67,-68,-61,-69,-82,-78,-53,-50,-57,-72,-80,-65,-69,-75,-73,A21,18
-50,-48,-59,-63,-69,-83,-80,-77,-75,-57,-65,-69,-64,-76,-70,-80,-74,-76,B6,22
-65,-55,-57,-48,-55,-55,-58,-61,-56,-65,-66,-58,-47,-56,-72,-60,-74,-72,B31,17
-63,-71,-64,-71,-77,-68,-95,-81,-76,-64,-68,-70,-80,-95,-75,-95,-81,-95,B5,37
-71,-67,-60,-57,-58,-56,-70,-65,-72,-65,-63,-69,-48,-78,-68,-64,-71,-82,A37,123
-73,-53,-63,-51,-58,-68,-63,-62,-68,-65,-62,-61,-53,-61,-59,-69,-66,-72,B25,82
-79,-62,-62,-67,-63,-54,-61,-46,-54,-58,-67,-66,-65,-57,-65,-52,-66,-57,A64,23
-82,-65,-65,-64,-55,-50,-74,-67,-71,-61,-64,-71,-56,-73,-64,-62,-72,-75,A33,107
-72,-78,-84,-72,-80,-72,-60,-55,-61,-71,-71,-81,-66,-75,-67,-60,-56,-64,A62,202
-67,-60,-52,-68,-67,-61,-73,-81,-84,-54,-54,-62,-72,-73,-69,-68,-77,-70,A21,18
-65,-65,-76,-68,-57,-57,-53,-55,-65,-69,-75,-67,-63,-57,-51,-58,-65,-72,B45,35
-74,-69,-64,-70,-64,-62,-60,-41,-56,-62,-69,-67,-62,-62,-56,-49,-49,-58,A67,71
-66,-61,-77,-73,-56,-47,-63,-65,-61,-58,-57,-56,-51,-40,-55,-58,-59,-62,A47,113
-65,-60,-61,-59,-78,-51,-58,-52,-56,-69,-65,-63,-59,-58,-68,-50,-47,-64,A68,139
-71,-67,-73,-62,-66,-44,-56,-66,-76,-62,-78,-65,-52,-40,-45,-58,-59,-64,A51,101
-84,-73,-67,-78,-69,-69,-62,-49,-56,-83,-72,-82,-68,-65,-67,-59,-56,-55,B80,8
-80,-77,-83,-68,-65,-59,-73,-61,-51,-70,-68,-81,-66,-72,-58,-56,-51,-56,A65,127
-64,-57,-72,-64,-77,-68,-79,-80,-78,-55,-47,-62,-62,-80,-68,-67,-79,-79,A18,135
-62,-56,-45,-65,-71,-58,-75,-68,-69,-56,-52,-45,-57,-77,-65,-69,-73,-70,A27,137
-64,-58,-63,-56,-49,-61,-74,-73,-71,-57,-50,-55,-50,-58,-56,-54,-65,-72,A39,197
-56,-59,-72,-45,-56,-57,-56,-67,-60,-61,-62,-48,-58,-62,-69,-67,-69,-79,B27,152
-66,-69,-77,-63,-58,-64,-57,-64,-65,-62,-66,-69,-58,-56,-69,-53,-63,-54,A54,88
-68,-67,-58,-60,-52,-55,-75,-68,-67,-74,-72,-70,-61,-65,-61,-72,-79,-71,B42,162
-59,-65,-64,-66,-65,-64,-80,-80,-67,-55,-56,-58,-67,-71,-70,-77,-70,-75,A4,20
-60,-64,-65,-72,-75,-65,-73,-81,-84,-50,-54,-59,-62,-67,-67,-74,-73,-72,A4,62
-73,-71,-68,-67,-62,-61,-59,-58,-63,-71,-83,-73,-73,-78,-56,-59,-55,-55,A65,-1
-72,-72,-81,-83,-67,-68,-74,-62,-66,-81,-81,-78,-73,-81,-75,-63,-55,-48,A78,153
-81,-74,-62,-69,-63,-78,-65,-48,-49,-79,-79,-67,-70,-55,-65,-53,-49,-56,B63,59
-63,-58,-61,-61,-61,-68,-53,-55,-62,-62,-65,-69,-77,-50,-57,-54,-60,-65,B48,179
-63,-72,-64,-60,-63,-61,-63,-65,-79,-69,-70,-62,-66,-60,-51,-56,-57,-71,A46,34
-65,-69,-56,-56,-61,-62,-67,-71,-75,-54,-54,-68,-54,-70,-64,-69,-66,-79,A29,150
-68,-71,-62,-67,-69,-53,-59,-72,-67,-81,-65,-65,-58,-58,-50,-57,-67,-61,A53,27
-70,-79,-65,-66,-38,-55,-66,-66,-75,-64,-64,-66,-55,-59,-55,-63,-66,-70,A38,163
-64,-67,-65,-62,-61,-62,-78,-75,-83,-64,-64,-77,-58,-70,-59,-64,-71,-79,A34,74
-63,-74,-61,-60,-68,-56,-66,-70,-74,-63,-57,-57,-57,-76,-63,-62,-70,-75,A29,143
-75,-83,-61,-75,-65,-71,-63,-47,-51,-78,-82,-67,-74,-54,-66,-53,-50,-58,B63,59
-68,-66,-70,-67,-67,-57,-62,-73,-59,-67,-74,-82,-66,-64,-66,-52,-54,-60,A69,85
-70,-77,-66,-65,-38,-54,-66,-66,-77,-64,-64,-65,-55,-60,-54,-64,-66,-70,A38,163
-71,-74,-73,-73,-64,-78,-58,-58,-60,-76,-74,-69,-72,-68,-75,-55,-65,-65,B58,67
-63,-71,-64,-71,-78,-68,-95,-80,-75,-64,-68,-70,-80,-95,-74,-86,-80,-95,B5,37
-62,-71,-62,-59,-57,-71,-52,-51,-54,-71,-68,-65,-63,-62,-52,-58,-67,-61,B51,47
-68,-63,-59,-67,-68,-71,-64,-47,-56,-66,-67,-68,-65,-51,-61,-63,-65,-49,B68,154
-67,-66,-57,-59,-51,-55,-73,-67,-68,-75,-73,-68,-61,-63,-61,-75,-84,-70,B42,162
-71,-75,-71,-80,-67,-67,-57,-53,-60,-72,-85,-84,-75,-65,-73,-62,-70,-48,B70,169
-60,-62,-57,-56,-50,-66,-56,-58,-64,-80,-60,-65,-54,-46,-61,-63,-59,-64,B40,21
-62,-59,-55,-63,-78,-65,-80,-71,-79,-54,-49,-60,-61,-68,-59,-64,-72,-72,A25,208
-61,-64,-55,-62,-71,-78,-83,-76,-74,-67,-71,-64,-74,-78,-74,-81,-75,-72,B22,92
-73,-68,-77,-71,-67,-76,-59,-65,-63,-86,-81,-81,-70,-62,-67,-61,-66,-63,B58,134
-67,-69,-64,-63,-59,-53,-71,-72,-71,-62,-61,-58,-56,-74,-61,-66,-71,-80,A33,4
-70,-79,-66,-65,-37,-54,-66,-66,-77,-64,-64,-65,-55,-60,-55,-64,-66,-70,A38,163
-72,-74,-74,-68,-76,-70,-73,-55,-61,-78,-77,-76,-70,-62,-78,-76,-74,-61,B77,115
-58,-65,-64,-66,-65,-63,-79,-79,-67,-55,-56,-58,-67,-71,-70,-79,-70,-74,A4,20
-60,-59,-51,-45,-60,-55,-70,-58,-61,-62,-68,-44,-61,-63,-58,-59,-62,-61,B28,69
-65,-68,-61,-64,-60,-63,-55,-61,-56,-66,-69,-65,-66,-55,-57,-47,-63,-59,B52,125
-70,-61,-66,-53,-51,-64,-78,-58,-76,-78,-66,-66,-61,-59,-72,-75,-63,-78,B37,0
-85,-62,-60,-61,-61,-52,-66,-67,-68,-62,-67,-63,-56,-67,-55,-62,-68,-70,A42,91
-60,-56,-62,-49,-69,-63,-75,-63,-60,-59,-54,-48,-60,-59,-63,-60,-66,-73,B24,72
-52,-58,-50,-53,-72,-57,-66,-71,-67,-57,-56,-54,-61,-64,-65,-60,-82,-70,B12,136
-74,-68,-69,-71,-69,-70,-57,-57,-59,-75,-85,-72,-67,-58,-65,-66,-55,-54,B69,144
-65,-57,-55,-43,-56,-61,-65,-79,-67,-67,-52,-53,-50,-69,-62,-60,-83,-68,A35,31
-75,-68,-73,-66,-67,-62,-75,-64,-49,-73,-79,-79,-65,-70,-73,-56,-62,-52,A73,83
-58,-46,-59,-53,-62,-62,-67,-73,-65,-53,-57,-55,-65,-58,-69,-61,-64,-67,B8,48
-70,-78,-65,-65,-38,-56,-66,-66,-78,-64,-64,-65,-55,-60,-55,-64,-65,-70,A38,163
-61,-47,-64,-63,-68,-72,-81,-80,-76,-58,-58,-73,-65,-68,-71,-95,-74,-73,B10,164
-72,-67,-65,-80,-63,-69,-56,-60,-61,-79,-81,-72,-78,-61,-54,-63,-56,-71,B53,185
-73,-68,-77,-74,-66,-76,-59,-66,-62,-86,-83,-81,-70,-62,-67,-60,-66,-63,B58,134
-63,-65,-67,-70,-62,-57,-61,-53,-51,-55,-69,-72,-60,-56,-58,-52,-52,-55,A75,5
-54,-56,-63,-63,-64,-73,-66,-69,-72,-61,-54,-73,-58,-67,-65,-95,-66,-68,A8,97
-61,-47,-64,-63,-68,-72,-81,-79,-76,-58,-58,-75,-66,-68,-72,-95,-73,-74,B10,164
-65,-63,-70,-59,-50,-52,-78,-79,-64,-63,-65,-64,-68,-56,-68,-71,-72,-71,A41,-1
-82,-57,-53,-61,-50,-62,-64,-61,-55,-59,-64,-70,-56,-57,-50,-54,-55,-68,A44,84
-65,-58,-68,-70,-57,-51,-55,-70,-70,-63,-59,-65,-61,-56,-55,-59,-61,-70,A52,112
-73,-68,-79,-71,-67,-77,-59,-64,-63,-84,-82,-78,-70,-61,-66,-62,-67,-64,B58,134
-62,-72,-63,-70,-62,-65,-55,-48,-50,-69,-63,-65,-70,-59,-68,-45,-46,-54,B60,180
-54,-61,-46,-68,-69,-68,-76,-80,-66,-56,-54,-58,-66,-66,-72,-80,-79,-68,A39,-1
-65,-56,-76,-72,-79,-70,-80,-78,-81,-68,-64,-83,-73,-81,-77,-74,-71,-76,B9,15
-64,-57,-72,-64,-76,-68,-80,-80,-78,-55,-47,-61,-63,-79,-68,-66,-79,-80,A18,135
-49,-55,-60,-73,-69,-62,-83,-78,-73,-43,-63,-63,-55,-76,-63,-70,-63,-68,A11,78
-56,-61,-79,-44,-59,-58,-56,-67,-60,-62,-62,-49,-58,-61,-68,-65,-68,-79,B27,152
-61,-66,-53,-59,-66,-68,-76,-69,-66,-53,-63,-64,-70,-70,-76,-78,-79,-74,B14,7
-77,-79,-61,-74,-65,-71,-64,-50,-50,-82,-81,-64,-74,-55,-66,-53,-50,-58,B63,59
-76,-68,-82,-67,-65,-57,-73,-59,-52,-76,-69,-81,-61,-71,-61,-56,-51,-55,A65,127
-63,-70,-63,-69,-63,-55,-61,-53,-48,-55,-68,-80,-57,-57,-62,-51,-50,-53,A75,5
-54,-47,-59,-53,-58,-63,-71,-72,-63,-55,-59,-60,-70,-58,-72,-63,-65,-65,B8,48
-77,-72,-80,-70,-72,-67,-59,-56,-45,-69,-76,-70,-78,-65,-76,-62,-66,-56,B79,182
-71,-53,-63,-53,-57,-69,-63,-62,-68,-66,-62,-62,-53,-61,-59,-69,-66,-72,B25,82
-73,-63,-68,-63,-64,-56,-56,-47,-53,-62,-66,-66,-59,-57,-59,-74,-56,-50,B64,10
-74,-62,-63,-66,-61,-55,-61,-46,-53,-61,-68,-67,-70,-55,-61,-54,-57,-65,A64,23
-66,-67,-66,-72,-67,-61,-58,-80,-66,-79,-68,-65,-63,-58,-50,-55,-64,-61,A53,-1
-72,-75,-83,-78,-65,-73,-78,-59,-79,-78,-84,-75,-75,-74,-79,-61,-56,-48,A78,153
-74,-62,-55,-68,-51,-60,-65,-59,-62,-64,-59,-68,-55,-56,-52,-54,-61,-62,A44,84
-55,-45,-62,-56,-56,-54,-65,-64,-63,-47,-55,-61,-60,-60,-60,-63,-62,-63,B11,90
-64,-65,-61,-73,-62,-59,-50,-60,-65,-58,-66,-62,-58,-53,-49,-43,-56,-62,A59,102
-66,-61,-59,-57,-60,-54,-61,-60,-62,-69,-74,-71,-65,-54,-73,-79,-67,-68,B41,58
-72,-62,-58,-64,-65,-65,-78,-81,-82,-60,-81,-61,-64,-82,-69,-72,-95,-73,A22,3
-70,-77,-59,-62,-54,-47,-65,-66,-65,-62,-74,-63,-56,-56,-55,-57,-66,-63,A39,168
-60,-62,-56,-55,-50,-64,-54,-58,-65,-71,-62,-64,-54,-47,-63,-63,-60,-64,B40,21
-66,-70,-63,-54,-63,-53,-78,-66,-64,-57,-66,-56,-57,-70,-60,-65,-66,-63,A36,36
-65,-64,-77,-68,-57,-57,-53,-56,-65,-70,-69,-68,-63,-57,-51,-58,-64,-70,B45,35
-61,-59,-52,-51,-50,-67,-56,-76,-67,-79,-68,-75,-48,-58,-68,-83,-63,-63,B35,117
-64,-58,-64,-56,-50,-61,-83,-72,-70,-57,-50,-55,-50,-58,-58,-54,-68,-69,A39,197
-61,-59,-52,-52,-50,-67,-57,-76,-65,-77,-68,-76,-48,-58,-69,-83,-63,-63,B35,117
-75,-77,-73,-69,-76,-71,-68,-54,-61,-80,-76,-75,-71,-61,-76,-75,-68,-62,B77,115
-72,-82,-71,-69,-71,-64,-75,-55,-45,-77,-67,-65,-67,-59,-77,-64,-47,-40,B71,75
-85,-73,-61,-65,-71,-58,-67,-71,-82,-62,-68,-74,-68,-72,-67,-62,-64,-67,A34,131
-64,-68,-59,-66,-58,-57,-57,-62,-50,-83,-63,-70,-60,-59,-68,-65,-62,-41,B76,155
-60,-56,-45,-66,-77,-58,-76,-67,-70,-55,-52,-45,-57,-71,-66,-70,-74,-70,A27,137
-62,-71,-62,-60,-55,-70,-53,-51,-53,-72,-68,-64,-63,-60,-51,-59,-68,-61,B51,47
-95,-52,-67,-95,-95,-68,-64,-95,-95,-95,-95,-95,-57,-95,-95,-65,-95,-95,B23,40
-63,-68,-63,-69,-65,-59,-50,-60,-65,-58,-66,-61,-59,-53,-49,-45,-56,-62,A59,102
-58,-65,-64,-66,-65,-63,-80,-79,-67,-55,-56,-58,-66,-71,-71,-77,-71,-76,A4,20
-62,-72,-54,-59,-68,-68,-80,-69,-67,-53,-62,-64,-73,-76,-70,-74,-82,-69,B14,7
-71,-56,-49,-56,-56,-74,-60,-71,-75,-64,-69,-68,-58,-58,-64,-68,-65,-67,B30,19
-61,-59,-52,-53,-50,-65,-57,-76,-65,-79,-68,-74,-47,-58,-68,-83,-63,-63,B35,117
-65,-58,-55,-43,-56,-61,-65,-75,-71,-67,-52,-53,-51,-69,-58,-60,-82,-68,A35,31
-64,-68,-63,-68,-69,-64,-60,-79,-66,-75,-70,-63,-58,-51,-50,-55,-61,-57,A49,124
-74,-70,-77,-68,-70,-56,-63,-64,-63,-78,-68,-68,-65,-58,-50,-55,-58,-60,A57,96
-63,-71,-64,-71,-77,-68,-95,-81,-74,-63,-68,-70,-81,-95,-74,-95,-80,-95,B5,37
-64,-65,-67,-79,-79,-78,-79,-87,-77,-62,-67,-60,-67,-70,-86,-76,-75,-75,A2,105
-66,-67,-75,-69,-55,-55,-63,-71,-65,-73,-66,-61,-61,-61,-82,-56,-71,-64,A45,-1
-75,-68,-52,-66,-63,-61,-76,-74,-74,-64,-65,-56,-66,-80,-64,-74,-82,-72,A21,-1
-72,-57,-60,-64,-71,-58,-70,-80,-76,-64,-81,-58,-56,-73,-70,-64,-73,-74,A25,-1
-70,-65,-63,-82,-66,-68,-61,-57,-55,-81,-85,-77,-78,-69,-60,-56,-55,-59,B57,237
-78,-64,-53,-57,-61,-61,-62,-58,-62,-58,-65,-64,-52,-48,-57,-59,-63,-54,B36,49
-67,-65,-68,-71,-59,-56,-56,-51,-50,-75,-64,-71,-75,-70,-62,-63,-52,-45,B72,140
-63,-59,-62,-58,-61,-69,-53,-55,-62,-62,-65,-68,-74,-51,-57,-53,-61,-65,B48,179
-66,-76,-56,-58,-55,-61,-70,-72,-72,-69,-66,-64,-58,-64,-74,-73,-74,-75,B38,53
-71,-68,-60,-57,-58,-56,-70,-65,-72,-65,-62,-68,-50,-79,-69,-65,-71,-82,A37,123
-60,-68,-73,-67,-57,-61,-55,-53,-61,-57,-66,-71,-58,-61,-51,-46,-57,-53,A63,81
-69,-59,-59,-61,-51,-39,-60,-73,-50,-67,-71,-69,-59,-47,-58,-53,-67,-58,B39,64
-66,-67,-59,-60,-56,-59,-72,-71,-69,-69,-68,-62,-60,-66,-70,-76,-83,-74,B38,53
-75,-66,-64,-68,-69,-58,-80,-71,-74,-74,-83,-79,-75,-59,-54,-75,-74,-71,B46,98
-65,-69,-78,-63,-59,-65,-57,-64,-66,-62,-66,-69,-58,-57,-69,-53,-62,-56,A54,88
-56,-68,-64,-76,-73,-66,-76,-73,-79,-64,-58,-63,-69,-67,-65,-66,-73,-76,A5,-1
-42,-58,-73,-71,-79,-72,-76,-82,-82,-58,-68,-68,-65,-83,-85,-70,-85,-74,A6,138
-59,-65,-64,-66,-65,-64,-77,-81,-67,-55,-56,-58,-67,-72,-71,-76,-71,-75,A4,20
-67,-69,-56,-63,-54,-59,-70,-71,-69,-69,-67,-63,-60,-65,-71,-75,-84,-77,B38,53
-68,-70,-71,-68,-69,-68,-62,-55,-53,-83,-83,-77,-68,-57,-64,-74,-57,-70,B65,157
-62,-71,-59,-56,-64,-53,-75,-68,-58,-57,-73,-57,-57,-73,-59,-69,-67,-64,A36,36
-59,-65,-66,-71,-74,-65,-74,-76,-84,-50,-54,-61,-62,-67,-67,-72,-72,-73,A4,62
-67,-67,-70,-68,-67,-57,-62,-73,-60,-67,-74,-81,-66,-63,-66,-52,-54,-60,A69,85
-62,-56,-45,-65,-71,-59,-75,-68,-69,-56,-53,-45,-58,-75,-65,-69,-73,-69,A27,137
-64,-57,-68,-70,-58,-45,-55,-60,-62,-70,-71,-72,-61,-47,-60,-53,-61,-55,B44,118
-79,-84,-65,-74,-65,-70,-64,-61,-64,-78,-83,-74,-74,-63,-74,-67,-49,-64,B62,151
-56,-45,-59,-68,-68,-58,-72,-66,-66,-48,-60,-51,-60,-65,-66,-69,-64,-66,A16,148
-61,-70,-76,-71,-73,-69,-83,-76,-80,-64,-64,-62,-73,-82,-84,-79,-71,-85,A13,108
-69,-61,-76,-75,-73,-76,-72,-81,-95,-73,-79,-76,-62,-69,-81,-95,-78,-79,B33,130
-64,-67,-64,-61,-61,-63,-76,-74,-83,-65,-63,-77,-58,-72,-61,-64,-73,-95,A34,226
-62,-70,-63,-59,-65,-62,-65,-63,-73,-70,-72,-63,-66,-61,-50,-57,-60,-67,A46,34
-72,-62,-55,-75,-79,-58,-77,-82,-81,-55,-58,-61,-53,-74,-77,-66,-73,-82,A25,250
-65,-69,-56,-54,-62,-63,-67,-71,-75,-54,-54,-68,-56,-70,-64,-69,-65,-78,A29,150
-73,-81,-67,-70,-70,-73,-66,-62,-62,-95,-72,-95,-68,-64,-67,-61,-72,-46,A79,210
-60,-53,-61,-55,-52,-60,-60,-62,-56,-60,-44,-47,-61,-56,-70,-69,-66,-66,B19,149
-61,-58,-59,-50,-66,-54,-63,-78,-64,-50,-61,-50,-56,-62,-70,-67,-63,-75,A32,39
-68,-65,-54,-69,-72,-61,-75,-79,-77,-56,-56,-67,-56,-74,-69,-64,-78,-76,A25,-1
-68,-61,-49,-68,-68,-61,-71,-79,-78,-53,-50,-57,-71,-76,-65,-69,-76,-74,A21,18
-71,-61,-67,-83,-71,-78,-81,-82,-82,-60,-68,-69,-83,-71,-73,-85,-86,-83,B1,129
-65,-67,-59,-61,-55,-58,-77,-62,-57,-74,-64,-67,-56,-61,-57,-44,-54,-55,A76,66
-67,-62,-81,-72,-54,-46,-63,-64,-61,-57,-58,-56,-52,-39,-54,-58,-59,-61,A47,113
-66,-69,-55,-60,-55,-58,-71,-70,-68,-70,-66,-63,-58,-66,-71,-82,-85,-76,B38,53
-77,-72,-83,-70,-71,-67,-59,-57,-46,-69,-77,-70,-78,-64,-75,-63,-65,-56,B79,182
-71,-69,-72,-66,-54,-52,-76,-64,-67,-73,-67,-63,-55,-62,-48,-55,-68,-67,A43,170
-60,-57,-61,-56,-49,-61,-78,-71,-82,-58,-51,-56,-50,-58,-58,-55,-66,-76,A39,197
-56,-49,-51,-66,-65,-61,-79,-68,-70,-48,-50,-54,-62,-63,-65,-64,-62,-66,A24,52
-60,-61,-53,-54,-68,-60,-77,-69,-73,-69,-66,-56,-48,-67,-62,-72,-80,-68,A30,160
-65,-67,-61,-64,-62,-64,-54,-62,-57,-67,-69,-65,-68,-56,-56,-48,-63,-60,B52,125
-70,-61,-75,-77,-73,-76,-72,-80,-95,-73,-81,-77,-62,-69,-83,-95,-80,-77,B33,130
-73,-53,-63,-51,-58,-68,-63,-62,-68,-65,-62,-62,-53,-61,-62,-70,-66,-73,B25,82
-64,-61,-56,-56,-50,-64,-54,-58,-64,-69,-63,-67,-54,-47,-62,-63,-60,-64,B40,21
-59,-71,-53,-63,-63,-63,-77,-78,-74,-56,-52,-64,-62,-78,-68,-65,-70,-67,A25,-1
-75,-69,-75,-75,-61,-73,-63,-58,-51,-84,-76,-81,-74,-63,-66,-58,-66,-64,B78,184
-54,-61,-63,-75,-75,-70,-74,-79,-78,-51,-64,-68,-79,-71,-69,-74,-75,-79,A5,76
-65,-65,-75,-69,-58,-57,-53,-55,-65,-69,-76,-68,-64,-57,-51,-58,-65,-71,B45,35
-70,-65,-57,-56,-59,-59,-67,-64,-75,-58,-53,-58,-57,-62,-61,-58,-64,-67,B20,80
-65,-58,-56,-65,-68,-60,-75,-78,-71,-53,-62,-57,-59,-66,-64,-66,-70,-81,A21,176
-51,-58,-50,-54,-67,-57,-65,-72,-65,-56,-51,-53,-62,-63,-65,-60,-81,-71,B12,136
-77,-69,-60,-70,-66,-67,-63,-50,-50,-80,-76,-64,-70,-55,-67,-53,-50,-57,B63,59
-50,-55,-60,-68,-67,-63,-77,-82,-76,-43,-66,-58,-55,-74,-64,-75,-64,-70,A15,78
-66,-59,-59,-60,-49,-39,-59,-75,-50,-68,-71,-67,-59,-47,-57,-53,-65,-59,B39,64
-63,-71,-62,-61,-63,-61,-67,-66,-83,-67,-71,-63,-66,-61,-51,-57,-56,-80,A46,34
-63,-65,-62,-57,-56,-52,-68,-76,-84,-68,-60,-54,-49,-71,-56,-68,-79,-63,A37,99
-67,-64,-70,-79,-77,-81,-81,-87,-78,-63,-68,-61,-66,-70,-95,-76,-76,-76,A2,105
-66,-61,-59,-57,-63,-53,-61,-61,-62,-69,-74,-71,-65,-54,-74,-79,-67,-68,B41,58
-56,-65,-68,-77,-68,-64,-73,-77,-75,-56,-55,-56,-67,-72,-65,-66,-75,-72,A1,11
-60,-47,-63,-63,-67,-71,-80,-80,-76,-57,-58,-74,-66,-68,-72,-95,-77,-74,B10,164
-73,-70,-64,-70,-64,-62,-61,-41,-55,-62,-69,-67,-62,-62,-56,-49,-47,-58,A67,71
-58,-57,-75,-77,-73,-76,-75,-78,-81,-50,-56,-58,-66,-83,-75,-95,-73,-78,A3,54
-55,-47,-54,-65,-66,-65,-63,-73,-65,-45,-53,-61,-59,-64,-62,-74,-65,-66,A20,133
-71,-61,-63,-64,-81,-58,-74,-80,-84,-55,-57,-58,-55,-71,-70,-66,-72,-79,A25,24
-62,-71,-58,-67,-57,-57,-58,-62,-50,-77,-65,-82,-59,-58,-72,-67,-61,-47,B76,155
-48,-56,-57,-69,-70,-82,-69,-81,-84,-58,-57,-62,-85,-74,-70,-66,-80,-95,B4,55
-68,-65,-67,-65,-62,-72,-68,-60,-58,-78,-71,-70,-69,-67,-70,-56,-61,-57,B57,14
-80,-85,-76,-69,-72,-81,-72,-66,-39,-83,-83,-82,-72,-81,-64,-59,-54,-58,A70,13
-68,-63,-68,-66,-61,-53,-62,-69,-66,-66,-62,-71,-54,-62,-54,-65,-61,-60,A41,193
